034f,,OK
115f,,OK
1160,,OK
180b,180e,OK (VARIATION SELECTOR)
2000,201f,OK
2d7f,,OK
3164,,OK
fe00,fe0f,OK (VARIATION SELECTOR)
ffa0,,OK
E0100,E01EF,OK (VARIATION SELECTOR)
