034f,,OK
115f,,OK
1160,,OK
180b,180e,OK
2000,201f,OK
3099,,COMBINING KATAKANA HIRAGANA VOICED SOUND MARK
309a,,COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
3164,,OK
fe00,fe0f,OK
ffa0,,OK
